"Label (Grouping)","AGE BY EDUCATIONAL ATTAINMENT","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Less than high school graduate","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!High school graduate (includes equivalency)","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Some college or associate's degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 18 to 24 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Less than 9th grade","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!9th to 12th grade, no diploma","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate (includes equivalency)","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Some college, no degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Associate's degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Graduate or professional degree","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 years and over!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 25 to 34 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 35 to 44 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years","AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 45 to 64 years!!Bachelor's degree or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over","AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!High school graduate or higher","AGE BY EDUCATIONAL ATTAINMENT!!Population 65 years and over!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!White alone, not Hispanic or Latino!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Black alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!American Indian or Alaska Native alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Asian alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Native Hawaiian and Other Pacific Islander alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Some other race alone!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Two or more races!!Bachelor's degree or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!High school graduate or higher","RACE AND HISPANIC OR LATINO ORIGIN BY EDUCATIONAL ATTAINMENT!!Hispanic or Latino Origin!!Bachelor's degree or higher","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Less than high school graduate","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!High school graduate (includes equivalency)","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Some college or associate's degree","POVERTY RATE FOR THE POPULATION 25 YEARS AND OVER FOR WHOM POVERTY STATUS IS DETERMINED BY EDUCATIONAL ATTAINMENT LEVEL!!Bachelor's degree or higher","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Less than high school graduate","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!High school graduate (includes equivalency)","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Some college or associate's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Bachelor's degree","MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2022 INFLATION-ADJUSTED DOLLARS)!!Population 25 years and over with earnings!!Graduate or professional degree"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","94,444","10,843","28,963","44,000","10,638","641,226","19,706","26,661","158,853","156,764","67,277","143,571","68,394","594,859","211,965","123,600","117,156","46,534","124,087","114,151","48,831","219,491","201,137","69,366","174,048","162,415","47,234","","545,055","517,179","188,698","531,417","506,739","185,404","3,385","3,027","944","7,293","6,172","1,177","10,998","9,979","5,652","N","N","N","27,451","18,670","3,463","46,362","39,216","11,790","65,692","47,111","10,973","","(X)","(X)","(X)","(X)","","35,901","25,526","28,255","31,820","44,182","61,281"
"        Margin of Error","","±2,422","±1,927","±2,266","±2,798","±1,672","±2,657","±2,212","±2,663","±6,122","±4,877","±3,741","±5,707","±3,501","±4,102","±6,831","±2,573","±2,335","±2,817","±1,614","±1,969","±2,731","±2,126","±2,579","±3,867","±1,172","±1,793","±2,884","","±2,819","±3,549","±6,206","±2,072","±3,058","±6,106","±804","±821","±441","±957","±836","±353","±914","±1,035","±941","N","N","N","±2,144","±1,906","±1,063","±3,067","±2,845","±1,881","±1,791","±2,367","±1,747","","(X)","(X)","(X)","(X)","","±897","±2,786","±2,480","±834","±2,116","±2,236"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","11.5%","30.7%","46.6%","11.3%","(X)","3.1%","4.2%","24.8%","24.4%","10.5%","22.4%","10.7%","92.8%","33.1%","(X)","94.8%","37.6%","(X)","92.0%","39.4%","(X)","91.6%","31.6%","(X)","93.3%","27.1%","","(X)","94.9%","34.6%","(X)","95.4%","34.9%","(X)","89.4%","27.9%","(X)","84.6%","16.1%","(X)","90.7%","51.4%","(X)","N","N","(X)","68.0%","12.6%","(X)","84.6%","25.4%","(X)","71.7%","16.7%","","24.3%","13.6%","9.7%","5.0%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±2.0","±2.5","±2.5","±1.7","(X)","±0.3","±0.4","±0.9","±0.8","±0.6","±0.9","±0.5","±0.5","±1.0","(X)","±1.0","±2.1","(X)","±1.3","±2.3","(X)","±0.9","±1.8","(X)","±0.8","±1.6","","(X)","±0.5","±1.1","(X)","±0.5","±1.1","(X)","±8.2","±10.3","(X)","±6.4","±4.8","(X)","±4.7","±7.1","(X)","N","N","(X)","±4.5","±3.8","(X)","±2.6","±3.6","(X)","±2.8","±2.6","","±3.2","±1.6","±0.9","±1.0","","(X)","(X)","(X)","(X)","(X)","(X)"
"Illinois","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","1,172,987","124,779","411,110","444,301","192,797","8,692,839","401,489","432,890","2,187,110","1,664,034","731,898","1,952,990","1,322,428","7,858,460","3,275,418","1,689,818","1,598,353","758,624","1,673,268","1,525,068","742,344","3,164,813","2,825,058","1,124,235","2,164,940","1,909,981","650,215","","5,611,906","5,316,342","2,320,146","5,440,268","5,181,296","2,275,828","1,128,977","994,446","272,038","56,942","40,840","10,971","538,775","495,492","368,757","4,482","2,985","918","605,383","403,651","93,722","746,374","604,704","208,866","1,336,391","954,420","257,461","","(X)","(X)","(X)","(X)","","51,922","31,826","38,766","44,169","68,489","84,140"
"        Margin of Error","","±3,968","±6,556","±11,306","±9,496","±8,997","±4,340","±11,530","±13,894","±24,850","±21,386","±17,518","±22,146","±20,565","±17,611","±26,647","±5,130","±7,993","±11,706","±4,916","±9,354","±10,298","±5,117","±12,081","±16,190","±2,197","±8,416","±11,455","","±11,515","±14,816","±21,352","±6,685","±13,159","±21,408","±8,376","±10,046","±11,358","±5,363","±4,148","±1,988","±4,536","±6,483","±6,532","±1,699","±1,052","±548","±17,084","±14,934","±6,895","±17,844","±16,176","±9,463","±2,767","±11,856","±9,036","","(X)","(X)","(X)","(X)","","±298","±508","±778","±589","±1,145","±1,200"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","10.6%","35.0%","37.9%","16.4%","(X)","4.6%","5.0%","25.2%","19.1%","8.4%","22.5%","15.2%","90.4%","37.7%","(X)","94.6%","44.9%","(X)","91.1%","44.4%","(X)","89.3%","35.5%","(X)","88.2%","30.0%","","(X)","94.7%","41.3%","(X)","95.2%","41.8%","(X)","88.1%","24.1%","(X)","71.7%","19.3%","(X)","92.0%","68.4%","(X)","66.6%","20.5%","(X)","66.7%","15.5%","(X)","81.0%","28.0%","(X)","71.4%","19.3%","","21.7%","14.0%","10.3%","4.5%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±0.6","±1.0","±0.8","±0.8","(X)","±0.1","±0.2","±0.3","±0.2","±0.2","±0.3","±0.2","±0.2","±0.3","(X)","±0.4","±0.7","(X)","±0.5","±0.6","(X)","±0.3","±0.5","(X)","±0.4","±0.5","","(X)","±0.2","±0.4","(X)","±0.2","±0.4","(X)","±0.6","±1.0","(X)","±3.3","±3.0","(X)","±0.9","±1.1","(X)","±19.5","±13.0","(X)","±1.4","±1.0","(X)","±1.2","±1.2","(X)","±0.8","±0.7","","±1.0","±0.5","±0.4","±0.2","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","598,860","70,566","233,646","212,050","82,598","4,236,361","205,425","239,773","1,119,240","806,321","321,825","938,256","605,521","3,791,163","1,543,777","857,353","801,796","347,744","846,561","759,127","343,189","1,573,317","1,381,992","536,528","959,130","848,248","316,316","","2,750,950","2,590,067","1,113,540","2,665,772","2,523,778","1,091,198","508,556","435,578","104,636","30,346","21,331","5,136","257,009","239,537","179,552","2,114","1,134","265","314,916","205,788","42,127","372,470","297,728","98,521","689,490","485,786","120,761","","(X)","(X)","(X)","(X)","","60,342","36,859","45,259","54,038","81,797","101,807"
"        Margin of Error","","±2,836","±4,781","±7,723","±6,677","±5,359","±4,016","±8,035","±9,144","±14,607","±14,944","±10,813","±14,099","±11,969","±12,214","±16,908","±3,812","±5,927","±7,533","±3,242","±6,344","±7,138","±3,480","±7,912","±11,051","±1,646","±4,846","±7,076","","±6,079","±9,042","±13,540","±3,644","±7,929","±13,299","±5,639","±6,212","±6,568","±3,282","±2,708","±1,396","±3,107","±3,768","±3,835","±1,315","±655","±272","±9,184","±8,582","±4,359","±10,698","±10,029","±5,976","±2,140","±8,381","±6,368","","(X)","(X)","(X)","(X)","","±469","±981","±832","±869","±1,026","±1,225"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","11.8%","39.0%","35.4%","13.8%","(X)","4.8%","5.7%","26.4%","19.0%","7.6%","22.1%","14.3%","89.5%","36.4%","(X)","93.5%","40.6%","(X)","89.7%","40.5%","(X)","87.8%","34.1%","(X)","88.4%","33.0%","","(X)","94.2%","40.5%","(X)","94.7%","40.9%","(X)","85.6%","20.6%","(X)","70.3%","16.9%","(X)","93.2%","69.9%","(X)","53.6%","12.5%","(X)","65.3%","13.4%","(X)","79.9%","26.5%","(X)","70.5%","17.5%","","19.0%","11.5%","8.0%","4.1%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±0.8","±1.2","±1.1","±0.9","(X)","±0.2","±0.2","±0.3","±0.4","±0.3","±0.3","±0.3","±0.3","±0.4","(X)","±0.6","±0.9","(X)","±0.7","±0.8","(X)","±0.4","±0.7","(X)","±0.5","±0.7","","(X)","±0.2","±0.5","(X)","±0.2","±0.5","(X)","±0.9","±1.3","(X)","±4.6","±4.0","(X)","±1.1","±1.5","(X)","±36.6","±13.1","(X)","±1.8","±1.3","(X)","±1.5","±1.6","(X)","±1.1","±0.9","","±1.1","±0.5","±0.4","±0.3","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","574,127","54,213","177,464","232,251","110,199","4,456,478","196,064","193,117","1,067,870","857,713","410,073","1,014,734","716,907","4,067,297","1,731,641","832,465","796,557","410,880","826,707","765,941","399,155","1,591,496","1,443,066","587,707","1,205,810","1,061,733","333,899","","2,860,956","2,726,275","1,206,606","2,774,496","2,657,518","1,184,630","620,421","558,868","167,402","26,596","19,509","5,835","281,766","255,955","189,205","2,368","1,851","653","290,467","197,863","51,595","373,904","306,976","110,345","646,901","468,634","136,700","","(X)","(X)","(X)","(X)","","43,895","24,634","30,700","36,945","58,123","74,097"
"        Margin of Error","","±2,907","±4,011","±7,530","±7,798","±6,307","±3,716","±6,552","±8,733","±17,470","±14,627","±10,886","±13,583","±13,059","±11,326","±16,035","±3,429","±4,736","±7,384","±3,869","±6,029","±6,805","±4,280","±7,467","±9,443","±1,740","±5,329","±7,941","","±7,110","±9,478","±12,950","±4,165","±8,040","±12,868","±5,349","±6,959","±7,509","±2,908","±2,485","±1,450","±2,776","±4,216","±4,923","±922","±807","±529","±9,616","±8,651","±4,429","±10,542","±9,750","±5,532","±1,878","±7,031","±5,575","","(X)","(X)","(X)","(X)","","±574","±1,130","±546","±494","±1,356","±1,067"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","9.4%","30.9%","40.5%","19.2%","(X)","4.4%","4.3%","24.0%","19.2%","9.2%","22.8%","16.1%","91.3%","38.9%","(X)","95.7%","49.4%","(X)","92.6%","48.3%","(X)","90.7%","36.9%","(X)","88.1%","27.7%","","(X)","95.3%","42.2%","(X)","95.8%","42.7%","(X)","90.1%","27.0%","(X)","73.4%","21.9%","(X)","90.8%","67.1%","(X)","78.2%","27.6%","(X)","68.1%","17.8%","(X)","82.1%","29.5%","(X)","72.4%","21.1%","","24.7%","16.6%","12.3%","4.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±0.7","±1.3","±1.3","±1.1","(X)","±0.1","±0.2","±0.4","±0.3","±0.2","±0.3","±0.3","±0.2","±0.4","(X)","±0.4","±0.9","(X)","±0.6","±0.8","(X)","±0.4","±0.6","(X)","±0.4","±0.7","","(X)","±0.3","±0.4","(X)","±0.2","±0.4","(X)","±0.7","±1.2","(X)","±4.7","±4.8","(X)","±1.1","±1.5","(X)","±15.7","±22.0","(X)","±1.8","±1.3","(X)","±1.3","±1.4","(X)","±1.0","±0.9","","±1.3","±0.7","±0.6","±0.3","","(X)","(X)","(X)","(X)","(X)","(X)"
"Indiana","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","679,203","98,241","256,463","249,196","75,303","4,584,460","163,963","285,425","1,472,890","880,898","424,272","869,217","487,795","4,135,072","1,357,012","886,951","802,576","302,136","866,145","780,543","305,841","1,673,938","1,515,770","472,617","1,157,426","1,036,183","276,418","","3,703,422","3,405,606","1,125,792","3,657,772","3,367,865","1,116,919","398,601","347,165","87,379","13,565","10,656","3,109","106,589","92,270","58,522","N","N","N","125,362","82,803","19,713","235,108","194,975","62,060","275,165","197,709","53,073","","(X)","(X)","(X)","(X)","","46,623","32,019","38,553","44,403","58,609","73,559"
"        Margin of Error","","±4,618","±5,700","±7,786","±7,652","±5,100","±5,286","±7,862","±10,453","±18,976","±17,362","±11,102","±13,163","±10,852","±13,367","±17,570","±5,648","±7,576","±9,844","±5,744","±6,108","±8,121","±6,588","±9,494","±9,990","±3,239","±6,119","±6,392","","±6,423","±11,028","±14,632","±4,626","±9,927","±14,267","±5,698","±6,627","±5,660","±2,675","±2,246","±1,082","±2,815","±3,567","±3,940","N","N","N","±5,891","±4,725","±2,600","±8,056","±7,252","±5,272","±2,455","±5,128","±4,896","","(X)","(X)","(X)","(X)","","±410","±746","±630","±656","±1,231","±2,217"
"    Percent","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","14.5%","37.8%","36.7%","11.1%","(X)","3.6%","6.2%","32.1%","19.2%","9.3%","19.0%","10.6%","90.2%","29.6%","(X)","90.5%","34.1%","(X)","90.1%","35.3%","(X)","90.6%","28.2%","(X)","89.5%","23.9%","","(X)","92.0%","30.4%","(X)","92.1%","30.5%","(X)","87.1%","21.9%","(X)","78.6%","22.9%","(X)","86.6%","54.9%","(X)","N","N","(X)","66.1%","15.7%","(X)","82.9%","26.4%","(X)","71.9%","19.3%","","23.9%","12.9%","9.7%","3.8%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±0.8","±1.1","±1.1","±0.7","(X)","±0.2","±0.2","±0.4","±0.4","±0.2","±0.3","±0.2","±0.3","±0.4","(X)","±0.6","±1.1","(X)","±0.6","±0.9","(X)","±0.4","±0.6","(X)","±0.5","±0.5","","(X)","±0.2","±0.4","(X)","±0.2","±0.4","(X)","±1.1","±1.4","(X)","±8.5","±6.2","(X)","±2.5","±3.5","(X)","N","N","(X)","±2.9","±2.0","(X)","±1.4","±2.0","(X)","±1.9","±1.8","","±1.4","±0.5","±0.5","±0.4","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","352,004","61,699","140,267","118,439","31,599","2,232,642","86,038","151,002","747,286","423,487","184,710","416,912","223,207","1,995,602","640,119","448,870","400,828","140,696","434,815","385,113","134,607","834,399","746,893","222,709","514,558","462,768","142,107","","1,806,919","1,650,791","531,990","1,786,114","1,634,076","529,114","184,251","158,635","36,479","6,501","4,775","1,371","52,504","45,413","29,838","N","N","N","66,489","42,152","10,310","115,190","93,134","29,799","140,178","95,705","24,292","","(X)","(X)","(X)","(X)","","55,045","36,684","45,412","56,010","72,252","87,503"
"        Margin of Error","","±3,178","±4,662","±4,920","±5,419","±3,360","±4,419","±5,109","±7,239","±13,353","±11,063","±7,959","±8,453","±7,386","±7,995","±10,784","±3,556","±4,834","±6,215","±3,847","±4,799","±5,371","±3,803","±6,018","±6,475","±1,929","±3,622","±4,448","","±4,097","±6,752","±8,499","±2,915","±6,146","±8,340","±3,410","±4,026","±3,115","±1,508","±1,241","±721","±1,815","±2,241","±2,617","N","N","N","±3,764","±3,096","±1,646","±5,484","±4,941","±3,183","±2,192","±3,788","±2,660","","(X)","(X)","(X)","(X)","","±602","±1,547","±1,068","±1,022","±1,474","±3,790"
"    Percent Male","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","17.5%","39.8%","33.6%","9.0%","(X)","3.9%","6.8%","33.5%","19.0%","8.3%","18.7%","10.0%","89.4%","28.7%","(X)","89.3%","31.3%","(X)","88.6%","31.0%","(X)","89.5%","26.7%","(X)","89.9%","27.6%","","(X)","91.4%","29.4%","(X)","91.5%","29.6%","(X)","86.1%","19.8%","(X)","73.5%","21.1%","(X)","86.5%","56.8%","(X)","N","N","(X)","63.4%","15.5%","(X)","80.9%","25.9%","(X)","68.3%","17.3%","","20.8%","10.3%","7.2%","3.3%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±1.3","±1.5","±1.5","±1.0","(X)","±0.2","±0.3","±0.6","±0.5","±0.4","±0.4","±0.3","±0.3","±0.5","(X)","±0.8","±1.4","(X)","±0.9","±1.2","(X)","±0.5","±0.8","(X)","±0.6","±0.8","","(X)","±0.3","±0.5","(X)","±0.3","±0.5","(X)","±1.7","±1.7","(X)","±9.4","±8.7","(X)","±2.9","±4.6","(X)","N","N","(X)","±3.5","±2.4","(X)","±2.1","±2.4","(X)","±2.5","±1.8","","±1.6","±0.7","±0.6","±0.4","","(X)","(X)","(X)","(X)","(X)","(X)"
"    Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","327,199","36,542","116,196","130,757","43,704","2,351,818","77,925","134,423","725,604","457,411","239,562","452,305","264,588","2,139,470","716,893","438,081","401,748","161,440","431,330","395,430","171,234","839,539","768,877","249,908","642,868","573,415","134,311","","1,896,503","1,754,815","593,802","1,871,658","1,733,789","587,805","214,350","188,530","50,900","7,064","5,881","1,738","54,085","46,857","28,684","N","N","N","58,873","40,651","9,403","119,918","101,841","32,261","134,987","102,004","28,781","","(X)","(X)","(X)","(X)","","39,409","25,186","30,327","36,283","49,725","64,824"
"        Margin of Error","","±3,139","±3,084","±5,511","±4,983","±3,598","±4,599","±4,576","±6,837","±10,961","±10,599","±7,043","±9,093","±7,131","±8,753","±10,952","±3,823","±5,294","±6,030","±3,785","±3,881","±5,561","±4,622","±5,846","±6,463","±2,642","±4,460","±4,445","","±3,945","±7,516","±9,867","±2,861","±6,884","±9,714","±3,977","±4,474","±4,226","±1,526","±1,404","±802","±1,918","±2,153","±2,142","N","N","N","±3,597","±2,982","±1,903","±4,962","±4,703","±3,380","±2,267","±3,361","±3,209","","(X)","(X)","(X)","(X)","","±544","±2,015","±513","±597","±1,090","±2,261"
"    Percent Female","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"        Estimate","","(X)","11.2%","35.5%","40.0%","13.4%","(X)","3.3%","5.7%","30.9%","19.4%","10.2%","19.2%","11.3%","91.0%","30.5%","(X)","91.7%","36.9%","(X)","91.7%","39.7%","(X)","91.6%","29.8%","(X)","89.2%","20.9%","","(X)","92.5%","31.3%","(X)","92.6%","31.4%","(X)","88.0%","23.7%","(X)","83.3%","24.6%","(X)","86.6%","53.0%","(X)","N","N","(X)","69.0%","16.0%","(X)","84.9%","26.9%","(X)","75.6%","21.3%","","27.4%","15.6%","11.8%","4.2%","","(X)","(X)","(X)","(X)","(X)","(X)"
"        Margin of Error","","(X)","±1.0","±1.6","±1.5","±1.1","(X)","±0.2","±0.3","±0.5","±0.4","±0.3","±0.4","±0.3","±0.3","±0.5","(X)","±0.9","±1.3","(X)","±0.6","±1.2","(X)","±0.5","±0.8","(X)","±0.6","±0.7","","(X)","±0.3","±0.5","(X)","±0.3","±0.5","(X)","±1.6","±1.9","(X)","±10.0","±10.4","(X)","±2.7","±3.6","(X)","N","N","(X)","±3.7","±3.1","(X)","±1.6","±2.5","(X)","±2.2","±2.4","","±1.9","±0.8","±0.7","±0.5","","(X)","(X)","(X)","(X)","(X)","(X)"
"Iowa","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
